uncertain_id,title,authors,year,venue,doi,url,source,screen_reason,second_pass_recommendation,confidence,fulltext_found,fulltext_access,fulltext_source,landing_page_url,pdf_url,download_status,local_pdf_path,notes
UT-0096,Blockchain and Trust,M. Bursell,2022,Trust in Computer Systems and the Cloud,10.1002/9781119695158.ch6,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9821840.pdf&bkn=9820891&pdfType=chapter,ieee,tech_with_weak_signal,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1002/9781119695158.ch6,,not_attempted,,
UT-0099,An SGX and Blockchain-Based System for Federated Learning in Classifying COVID-19 Images,S. Qin; X. Gu; X. Jun; H. Li; M. Huang; W. Dai,2023,"2023 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ISPA-BDCloud-SocialCom-SustainCom59178.2023.00131,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10491759,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,http://dx.doi.org/10.1109/ispa-bdcloud-socialcom-sustaincom59178.2023.00131,,not_attempted,,
UT-0100,Blockchain-Enabled Access Control Using Practical Byzantine Fault Tolerance for Healthcare IoT,A. Altrad; B. Y. Almansour; B. K. Andijan; A. Y. Almansour; D. Tursunov; R. Rogith,2025,2025 International Conference on Electrical Engineering and Informatics (ICEEI),10.1109/ICEEI68459.2025.11330327,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11330327,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1109/iceei68459.2025.11330327,,not_attempted,,
UT-0103,Data Cooperatives for Neighborhood Watch,A. Salau; R. Dantu; K. Upadhyay,2021,2021 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC51069.2021.9461056,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9461056,ieee,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1109/icbc51069.2021.9461056,,not_attempted,,
UT-0106,A process model of governance adaptation and performance outcomes in e-commerce permissioned blockchain networks,Sulafa Badi; Livashnee Naidoo,2025,International Journal of Production Economics,10.1016/j.ijpe.2025.109709,https://doi.org/10.1016/j.ijpe.2025.109709,openalex,no_abstract_but_title_relevant,needs_manual,medium,yes,open,openalex,https://eprints.gla.ac.uk/358010/1/358010.pdf,https://eprints.gla.ac.uk/358010/1/358010.pdf,download_failed:HTTP Error 401: Unauthorized,,
UT-0107,Enhancing Transparency and Trust in Higher Education Institutions via Blockchain: A Conceptual Model Utilizing the Ethereum Consortium Approach,Yerlan Kistaubayev; Francisco Liébana‐Cabanillas; Aijaz A. Shaikh; Galimkair Mutanov; Olga Ussatova; A. Shinbayeva,2025,Sustainability,10.3390/su17209350,https://doi.org/10.3390/su17209350,openalex,generic_blockchain_institutional,needs_manual,medium,yes,open,openalex,https://doi.org/10.3390/su17209350,https://www.mdpi.com/2071-1050/17/20/9350/pdf?version=1761052780,download_failed:HTTP Error 403: Forbidden,,
UT-0109,A multi-center federated learning mechanism based on consortium blockchain for data secure sharing,Bin Wang; Zhao Tian; Xinrui Liu; Yujie Xia; Wei She; Wei Liu,2025,Knowledge-Based Systems,10.1016/j.knosys.2025.112962,https://doi.org/10.1016/j.knosys.2025.112962,openalex,no_abstract_but_title_relevant,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1016/j.knosys.2025.112962,,not_attempted,,
UT-0110,LVCA: An efficient voting-based consensus algorithm in private Blockchain for enhancing data security,Sudhani Verma; Girish Chandra; Divakar Yadav,2025,Peer-to-Peer Networking and Applications,10.1007/s12083-024-01808-6,https://doi.org/10.1007/s12083-024-01808-6,openalex,no_abstract_but_title_relevant,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1007/s12083-024-01808-6,,not_attempted,,
UT-0113,Blockchain Based Zero Knowledge Proof Protocol For Privacy Preserving Healthcare Data Sharing,Go Eun Myeong; Kirpa Ram,2025,Journal of Technology Informatics and Engineering,10.51903/jtie.v4i1.296,https://doi.org/10.51903/jtie.v4i1.296,openalex,generic_blockchain_institutional,needs_manual,medium,yes,open,openalex,https://doi.org/10.51903/jtie.v4i1.296,https://jtie.stekom.ac.id/index.php/jtie/article/download/296/251,download_failed:HTTP Error 404: Not Found,,
UT-0116,Healthcare Data Security and Privacy Protection Framework Based on Dual Channel Blockchain,Jasleen Kaur; Rinkle Rani; Nidhi Kalra,2025,Transactions on Emerging Telecommunications Technologies,10.1002/ett.70049,https://doi.org/10.1002/ett.70049,openalex,generic_blockchain_institutional,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1002/ett.70049,,not_attempted,,
UT-0117,Blockchain for Empowering Central Bank Digital Currencies (CBDCs): Examples from Industry,Makoto Takemiya,2025,,10.7566/jpscp.44.011002,https://doi.org/10.7566/jpscp.44.011002,openalex,generic_blockchain_institutional,needs_manual,medium,yes,open,openalex,https://doi.org/10.7566/jpscp.44.011002,https://journals.jps.jp/doi/pdf/10.7566/JPSCP.44.011002?download=true,download_failed:HTTP Error 403: Forbidden,,
UT-0120,Cross-domain secure communication scheme in industrial internet of things based on consortium blockchain,Gang Han; Jiping Ma; L. Gong; Qian Wang; Zhong-Liang Zhang,2025,Peer-to-Peer Networking and Applications,10.1007/s12083-025-02055-z,https://doi.org/10.1007/s12083-025-02055-z,openalex,no_abstract_but_title_relevant,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1007/s12083-025-02055-z,,not_attempted,,
UT-0121,Enhancing anomaly detection and prevention in Internet of Things (IoT) using deep neural networks and blockchain based cyber security,A. R. Sathyabama; Jeevaa Katiravan,2025,Scientific Reports,10.1038/s41598-025-04164-4,https://doi.org/10.1038/s41598-025-04164-4,openalex,tech_only_no_context,needs_manual,medium,yes,open,openalex,https://doi.org/10.1038/s41598-025-04164-4,https://www.nature.com/articles/s41598-025-04164-4.pdf,downloaded,data/fulltext/ambiguous/UT-0121-enhancing-anomaly-detection-and-prevention-in-internet-of-things-iot-using-deep-.pdf,
UT-0125,Dynamic sharding model and performance optimization method for consortium blockchain,Yan Wang; Zheng Gong; Dayu Jia; Aiping Tan; Minchao Liu,2025,The Journal of Supercomputing,10.1007/s11227-024-06870-8,https://doi.org/10.1007/s11227-024-06870-8,openalex,no_abstract_but_title_relevant,needs_manual,medium,yes,unknown,openalex,https://doi.org/10.1007/s11227-024-06870-8,,not_attempted,,
