title,authors,year,venue,abstract,doi,url,source
A Complete Privacy-Preserving Credit Score System Using Blockchain and Zero Knowledge Proof,Y. Han; H. Chen; Z. Qiu; L. Luo; G. Qian,2021,2021 IEEE International Conference on Big Data (Big Data),"As an essential means of privacy protection technology, zero-knowledge proof has gradually been applied into various fields with the development of blockchain technology, such as the Internet of Vehicles and Bitcoin. Personal comprehensive credit score as a measure to promote social governance is closely related to personal privacy. Although there are currently credit score calculation systems for various application scenarios, these systems almost ignore user privacy protection, which leads to user information leakage or abuse. The combination of zero-knowledge proof and personal credit score calculation has been studied by a number of researchers at the present stage. However, all data are provided by users directly in the current schemes, which did not consider the data authenticity under the situation that users provided false data. In this paper, we utilize zero-knowledge proof to design a novel privacy protection scheme for personal credit score calculation, taking into account the authenticity verification of multi-dimensional user data. In addition, our scheme also proposes the concept of a universal verification platform based on blockchain for personal credit scores. This platform has more substantial applicability and versatility for any qualified institution that requires querying and verifying user’s credit scores. At the end of the paper, we conducted a security analysis and performance evaluation for the overall scheme.",10.1109/BigData52589.2021.9671494,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671494,ieee
Blockchain-Enabled Process Management and Learning Record Trustworthiness Enhancement Mechanism Design for Mock Trials,J. Guo; M. Xu,2025,2025 International Conference on Educational Technology Management (ICETM),"Mock trials have become an essential component of legal education, providing a practice-oriented platform that bridges legal theory with professional competence. Yet, current teaching practices face persistent challenges, including irregular processes, opaque case management, fragmented student records, and weak evaluation mechanisms. These deficiencies hinder fairness, consistency, and the credibility of competency evidence, particularly in cross-institutional or industry-linked contexts. This paper explores blockchain technology as a solution to these governance and credibility gaps. Leveraging immutability, traceability, and distributed consensus, blockchain enables transparent case allocation, standardized role rotation, and full-chain evidence management. Smart contracts automate assignments, evaluations, and incentives, reducing subjectivity while ensuring procedural fairness. A hybrid storage architecture anchors essential metadata-timestamps, hashes, and digital signatures-on-chain, while retaining detailed records off-chain, thus balancing auditability with privacy protection. Beyond process automation, blockchain supports multi-party collaboration by integrating universities, courts, and law firms into a consortium chain, allowing external experts to participate in evaluation and record verification. This ensures that student performance is securely documented, objectively assessed, and recognized across institutions. Case studies from domestic and international pilots further confirm the feasibility and effectiveness of blockchain-based education management. By enhancing transparency, credibility, and interoperability of mock trial records, this framework contributes to the digital transformation of legal education and strengthens the foundation for cultivating competent legal professionals in a data-driven era.",10.1109/ICETM67477.2025.11413510,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11413510,ieee
Priv-Face: A Privacy-Preserving Face Recognition Approach Based on Homomorphic Encryption and Blockchain,L. B. Subagyo; F. Dewanta; Y. Purwanto,2025,"2025 9th International Conference on Information Technology, Information Systems and Electrical Engineering (ICITISEE)","Recently, blockchains have been utilized in various IoT platforms as a persistent and tamper-proof database, ensuring the integrity of the data. However, biometric data are not appropriate to be stored in blockchains because the transparency feature of blockchains can lead to privacy violations, as regulated in Indonesia's Personal Data Protection Act (Law No. 27 of 2022). This research proposes a Priv-Face approach that can provide a privacy-preserving face recognition system based on fully homomorphic encryption and blockchain. The proposed methodology employs Cosine distance metrics to compute similarity measurements between homomorphically encrypted facial feature vectors stored within the Hyperledger Fabric blockchain and IPFS infrastructure, and incoming homomorphically encrypted facial vectors entirely within the ciphertext domain. Experimental validation conducted on the GTF dataset demonstrates the system's efficacy, achieving an accuracy of 92 % on the same dataset. This represents a performance improvement of 6 % compared to existing research, while maintaining processing times of approximately 6 seconds for Cosine distance computation in a configuration of 3 samples per individual across 50 enrolled users. These results demonstrate that homomorphic encryption integrated with distributed ledger technology enables accurate user identification while preserving privacy, providing a viable solution for secure biometric authentication.",10.1109/ICITISEE68184.2025.11355016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11355016,ieee
Secure Blockchain-Integrated Deep Learning Framework for Generative AI Model,M. N; V. G; L. G; B. S; G. G; P. D,2025,"2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)","Generative AI is an advanced AI subset designed to create new data resembling existing data, widely applied in text generation, image synthesis, and predictive modeling to enhance automation and creativity across industries. Deep learning, particularly Long Short-Term Memory (LSTM) networks, plays a crucial role in generative AI, as LSTM effectively processes sequential data, making it essential for tasks like natural language processing and time-series forecasting. Data security is critical in generative AI, especially when handling sensitive information. Encryption techniques such as Advanced Encryption Standard (AES) and Rivest-Shamir-Adleman (RSA) ensure data security before processing, with AES providing fast encryption and RSA enabling secure key exchanges. Homomorphic encryption allows AI models to process encrypted data without decryption, maintaining confidentiality. Blockchain technology further enhances data security through a decentralized and immutable ledger for verification, employing smart contracts and cryptographic hashing to ensure data integrity. Blockchain-based identity management systems authenticate inputs while preventing unauthorized access, preserving both privacy and security. Implementing encryption and blockchain mechanisms does not compromise generative AI model accuracy, achieving 92.75% accuracy through rigorous testing, validated using benchmarking datasets and performance evaluation metrics. The integration of encryption and blockchain ensures robust data security while maintaining high accuracy.",10.1109/RMKMATE64874.2025.11042434,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11042434,ieee
A Smart Card based Approach for Privacy Preservation Authentication of Non-Fungible Token using Non-Interactive Zero Knowledge Proof,M. B. A. Dastagir; O. Tariq; D. Han,2022,"2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)","The adaption of the NFT to the mainstream web3 marketplace has led to the rise of challenges like authenticity and verification. On the other hand, privacy-preserving is one of the important research topics in the data-driven metaverse due to its anonymity while maintaining transparency and security. As the traditional method does not preserve privacy, there is a dire need for a novel privacy-preserving method for NFT authentication while preserving anonymity, transparency, and security. This paper proposes a smart card-based approach for privacy preservation authentication of Non-Fungible Tokens using Non-Interactive Zero Knowledge Proof (NIZKP). The paper presents a Novel NIZKP response with the integration of challenge and proof with the encapsulation of a time-based one-time password (TOTP) solution to address the most critical problem of the proof of the source of the NFT and its rightful owner. The proposed solution is a lightweight mechanism for preventing unauthorized and hostile agents from the accessibility of the system while maintaining privacy and anonymity along with the verification and authenticity of the NFT. We have implemented our approach and compared the communication overhead and functional security features with related work and its precedence over them. The results show that the proposed approach has less communication overhead than the existing work and fulfills all the functional security and privacy-preserving features. It indicates that the proposed method can be an ideal solution for NFT authentication and transaction among users.",10.1109/SmartWorld-UIC-ATC-ScalCom-DigitalTwin-PriComp-Metaverse56740.2022.00339,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10189570,ieee
Towards achieving confidentiality in Hyperledger Fabric,B. Hofmann; P. Kasinathan; M. Wimmer,2022,2022 IEEE International Conference on Blockchain (Blockchain),"Enterprise blockchain use cases have confidentiality requirements when executing cross-organizational business processes or workflows across their corporate boundaries. For instance, only a certain privileged subset of organizations may know of the workflow's existence and is allowed to access sensitive workflow's data assets such as price information. A private or permissioned blockchain such as Hyperledger Fabric (HLF) provides many features to support those enterprise use cases that require confidentiality. Nevertheless, the blockchain architects need to decide when it comes to how to use them, when to use them, and what are the performance and security implications of those design decisions. This work presents a generic methodology to design a secure Hyperledger Fabric (HLF) blockchain architecture with a given security requirements. To achieve that, we developed and used a novel formal description to specify a generic multilateral workflow in the context of an enterprise use case. Furthermore, the security of the resulting architecture is evaluated against an attacker model and relevant countermeasures are presented. In addition, the performance impact of proposed changes is evaluated using the Hyperledger Caliper benchmarking framework.",10.1109/Blockchain55522.2022.00060,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9881834,ieee
Bc²FL: Double-Layer Blockchain-Driven Federated Learning Framework for Agricultural IoT,Q. Ding; X. Yue; Q. Zhang; Z. Xiong; J. Chang; H. Zheng,2025,IEEE Internet of Things Journal,"With the flourishing of the Agricultural Internet of Things (AIoT), analyzing large-volume sensor data has become a regular requirement for agricultural decision-making. Federated learning (FL), which facilitates scattered AIoT devices to train models collaboratively, has gained significant attention. However, traditional FL poses challenges in AIoT scenarios, such as wide geo-distribution, heterogeneous data distribution, and high-device risks. Existing works tend to be one-sided and remain unclear on how to tackle these issues thoroughly in AIoT. To fill the gap, we present Bc2FL, a double-layer blockchain-based FL framework, which enhances both learning efficiency and security for AIoT. The double-layer blockchain, coupled with a two-stage consensus algorithm, drives the hierarchical FL process to enable efficient and reliable agricultural knowledge-sharing. In addition, Bc2FL adopts an adaptive model aggregation algorithm to dynamically tune noise levels based on the model quality, further improving the learning security and model credibility. Finally, the extensive experimental results demonstrate that Bc2FL not only improves the model accuracy by up to 21.17% compared with the state-of-the-art baselines, but also enhances the privacy protection within an additional error of only 2.1%.",10.1109/JIOT.2024.3485208,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10729848,ieee
Toward the InterPlanetary Health Layer for the Internet of Medical Things With Distributed Ledgers and Storages,G. Bigini; E. Lattanzi,2022,IEEE Access,"With the dramatic increase of the Internet of Medical Things devices, self and remote health data monitoring is consistently receiving more attention. However, medical devices are usually challenging to deploy due to privacy regulations, and they generally leverage a centralized third party. Enabling data sharing would enhance new medical studies, formulate new treatments, and deliver new digital health technologies. Solving the issue will have a triple impact: we will handle sensitive information easily, contribute to international medical advancements, and enable personalized care. A possible solution is to exploit decentralization distributing privacy concerns directly to users. Solutions enabling this vision are closely linked to Distributed Ledger Technologies. Through its characteristics of immutability and transparency, this technology would allow privacy-compliant solutions in contexts where privacy is the first need. This paper envisions the InterPlanetary Health Layer and related real-world implementations in the Internet of Medical Things domain. The main idea of the proposed solution is to handle sensitive data by preserving privacy and guaranteeing data availability. Specifically, users can build their private network, collaboratively authorize operations among their data and manage their privacy conditions without relying on a third party. The results of several stress tests conducted on a real case study confirmed the feasibility of the proposed solution, which shows good scalability and a modest impact on the application performance measured during the decentralized data access.",10.1109/ACCESS.2022.3196933,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9851630,ieee
"An Auditable, Privacy-Preserving, Transparent Unspent Transaction Output Model for Blockchain-Based Central Bank Digital Currency",M. M. Islam; H. P. IN,2024,IEEE Open Journal of the Computer Society,"Auditability, privacy, transparency, and resiliency are four essential properties of a central bank digital currency (CBDC) system. However, it is difficult to satisfy these properties at once. This issue has become a crucial challenge to ongoing CBDC projects worldwide. In this article, we propose a novel unspent transaction output (UTXO) model, which offers auditable, privacy-preserving, transparent CBDC payments in a consortium blockchain network. The proposed model adopts a high-speed, non-interactive zero-knowledge proof scheme named zero-knowledge Lightweight Transparent ARgument of Knowledge (zk-LTARK) scheme to verify the ownership of UTXOs. The scheme provides low-latency proof generation and verification while maintaining 128-bit security with a smaller proof size. It also provides memory-efficient, privacy-preserving multi-party computation and multi-signature protocols. By using zk-LTARKs, users do not require numerous private–public key pairs to preserve privacy, which reduces risks in key management. Decentralized identifiers are used to authenticate users without interacting with any centralized server and avoid a single point of failure. The model was implemented in a customized consortium blockchain network with the proof-of-authority consensus algorithm.",10.1109/OJCS.2024.3486193,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10734236,ieee
IBC: An Integrated framework combining blockchain with BPMN choreography to enhance multi-party collaboration,X. Shen; Z. Wang; J. Luo; H. Ruan; H. Xu; M. Liu,2024,2024 IEEE International Conference on Web Services (ICWS),"This paper analyzes decentralized collaboration between organizations, focusing on the challenges and inefficiencies in the absence of trusted third-party collaboration. The integration of Business Process Model and Notation (BPMN) choreography with blockchain technology offers a trusted, distributed, multi-party collaboration pattern. However, the integration of BPMN with blockchain encounters various challenges. These include the absence of a unified model for efficient multi-party collaboration, the lack of a design for integrating existing information systems through on-chain/off-chain interaction architecture, and the limited focus on structurally complex permissioned blockchains that address privacy and efficiency concerns, despite the majority of research translating BPMN into Ethereum smart contracts. To address these challenges, we propose an integrated framework supporting trusted multi-party collaboration. In response to these challenges, we present a comprehensive framework that facilitates trusted multi-party collaboration. Based on this framework, we integrate BPMN choreography with Hyperledger Fabric to realize a third-party collaborative platform. Additionally, the integration of Hyper-ledger Firefly enables seamless connection with existing information systems’ physical resources, ensuring secure off-chain message transmission while preserving on-chain evidence. The platform is fully open-source to facilitate further research and development. Finally, the experimental results demonstrate that the system is capable of supporting the execution of multi-party collaboration processes correctly, efficiently, and conveniently. Code can be found on https://anonymous.4open.science/r/IBC-345F.",10.1109/ICWS62655.2024.00067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707400,ieee
Data Protection in Permissioned Blockchains using Privilege Separation,A. Joseph; N. Yadav; V. Ganapathy; D. Behl; P. Jayachandran,2023,2023 15th International Conference on COMmunication Systems & NETworkS (COMSNETS),"This paper concerns the Hyperledger Fabric permissioned blockchain system. This system is in popular use in several enterprise settings, where each participating corporate entity may have sensitive business-related data whose confidentiality it wishes to protect. Fabric provides the channel abstraction that ensures that channel data (e.g., data stored in that channel's ledger, or data transmitted via the network to members of that channel) are only accessible to members of that channel. Unfortunately, as we show in this paper, the channel abstraction only offers data protection under the implicit assumption that all system components in the permissioned blockchain are trustworthy. This assumption may not hold in the presence of compromised container nodes, on which several blockchain-related components execute, or malicious business users inside any one of the participating corporate entities. Under such situations, sensitive corporate data can be leaked to unauthorized entities. We present Aramid, which is an enhanced version of Fabric that offers data protection even in the presence of compromised blockchain components. Aramid uses a privilege-separated architecture in which blockchain components (such as peer or orderer nodes) that are members of multiple channels execute on different containers. Aramid is transparent to legacy Fabric applications, requiring no changes to their codebase. Through our prototype implementation, we show that Aramid robustly defends against a number of attacks possible on Fabric, and that it does so with performance comparable to Fabric.",10.1109/COMSNETS56262.2023.10041304,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041304,ieee
In pursuit of appropriate private blockchain platform for higher education institutions,D. Čeke; N. Buzađija,2023,2023 22nd International Symposium INFOTEH-JAHORINA (INFOTEH),"Maintaining and establishing transparency, security and privacy, when the data that should be included as part of documents that should serve as public educational documents in the labor market, are a challenging task, especially nowadays when we have more frequent cyber-attacks on public institutions. Setting up the security mechanisms of information systems that should store, process and show this type of data can be a very demanding job. For this reason, the introduction of new technologies in this area, such as blockchain technology, leads to considerable system and implementation relief. In this paper, private blockchain platforms are analyzed from the point of view of processing digital certificates or diplomas in the higher education system. An overview of the most popular platforms of this type is given. The most appropriate solution for these needs are discussed and proposed.",10.1109/INFOTEH57020.2023.10094098,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10094098,ieee
"Integrating Deep Learning with Blockchain Technology to Strengthen Decentralized AI Application's Data Privacy, Security, and Transparency",M. K. Gajula; S. Perumalla; D. S. Deepika; M. Dinesh; J. Giri; M. O. Sabri,2025,2025 International Conference on Networks and Cryptology (NETCRYPT),"Deploying new systems of Artificial Intelligence (AI), especially deep learning, has led to revolutionary use cases in every industry. But these innovations also come with greater concerns about data privacy, data security, and transparency - especially when it comes to sensitive user data. And one of the most innovative technologies that is there to help tackle these challenges is blockchain technology given its decentralized, immutable and transparent nature. Inspired by the mechanism behind deep learning and blockchain, the research successfully investigates the possibility of combining deep learning u blockchain together to realise the decentralised AI applications while ensuring data integrity, privacy, и security. In this paper, we present a new framework that merges the efficiency of deep learning models with the decentralized structure of blockchain. The access and data sharing security enforced by smart contracts and federated learning of deep learning model takes place in the protected way without disclosure of raw data. By logging model updates, transactions and decisions - blockchain allows data immutability and auditability - increasing trust among the stakeholders. A case study of a privacy-sensitive application, e.g., healthcare or financial services, is designed, which helps validate the proposed approach. The experimental results show that the integrated system realizes robust model performance and guarantees data privacy and transparent operation. Moreover, we analyze the scalability of the solution in terms of the latency and throughput of blockchain transactions and the efficiency of federated learning at distributed nodes. The study offers important insights for surmounting challenge related to merging deep learning and blockchain e.g., computational overhead, scalability and energy efficiency. Additionally, we discuss how such an integrated paradigm could foster the development of a new kind of decentralized AI applications, leading to ethical and secure AI systems that comply with existing global data privacy laws such as GDPR and CCPA. The implications of this research are significant, as they highlight the potential of blockchainintegrated deep learning systems to promote secure, transparent, and privacy-preserving decentralized AI applications, thereby laying the groundwork for future advancements in secure AI deployment.",10.1109/NETCRYPT65877.2025.11102722,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102722,ieee
Using blockchain to improve data management in the vINCI Platform,P. Krawiec; W. Latoszek; J. M. Batalla; L. Bajenaru; C. Dobre,2023,2023 24th International Conference on Control Systems and Computer Science (CSCS),"Ensuring a high level of security and privacy for medical data is the primary task of e-health systems. From the point of view of the EU General Data Protection Regulation, medical data is considered to be sensitive data, as they are one of the main cybercrime targets due to the concentration of confidential personal information such as identity, contact details, billing data, and medical history. The paper presents the multi-module system for collecting and processing medical data, with the blockchain platform used to ensure a higher level of security and confidentiality of these data in the vINCI platform. The developed blockchain module ensures the confidentiality and high security of medical data. Hyperledger Fabric is the basis of the created blockchain platform, which contributes to the management of information access and permissions for collecting health data in the vINCI platform. Also, the integration concepts of the two platforms, implementation considerations, and initial validation results are presented.",10.1109/CSCS59211.2023.00102,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10214767,ieee
Integrated Blockchain Layer for Hybrid Banking (IBL-HB): A Decentralized Infrastructure for Seamless Coexistence of Digital Currencies and Traditional Banking,Raghu; G. Singh; S. Kannimuthu; D. Amirtharaj; M. N. T. Kizi; T. P. Priyanka,2025,2025 International Conference on Innovations and Emerging Technologies In AI & Communication Systems (IETACS),"The industry growth of the digital currency market and the existence of the old banking system, in turn, has necessitated an urgent requirement of a hybrid financial infrastructure that will offer an effective, secure, and real-time interoperability. The current banking networks are founded on centralised books, which implies that interbank settlements are slow, untransparent, and involve high fraud risks. In contrast, the decentralisation and immutability of a public blockchain network are associated with the price of scalability, as well as regulatory and integration issues. Such loopholes will be bridged in this research through the introduction of a Decentralised Ledger Architecture of Hybrid Banking (DLHB), a consortium-based permissioned blockchain infrastructure, in which interbank fiat settlements are registered. Nevertheless, open blockchain networks will be used to effect digital currency settlements. Their connection will be based on cross-chain smart contracts that will facilitate the coordination of atomic, secure, and auditable transfers. It is built on recent cryptography-based capabilities, such as zero-knowledge proofs (ZKPs) and secure multi-party computation (SMPC), which can protect sensitive financial information and facilitate compliance. BFT protocols, which are optimised at the consortium layer, are classified under Byzantine Fault Tolerance to ensure that the technology meets both security and high throughput requirements. The public blockchain layer is optimised for the validation of Proof-ofStake (PoS). Simulation experiments indicate that the DL-HB framework is capable of supporting up to 85% higher transaction throughput, 60% reduced latency, and much more audit-friendly and fault-tolerant compared to the traditional banking systems and to the current blockchain solutions. The recommended architecture will allow co-existing between digital and fiat transactions on a transparent basis since the architecture will eradicate bottlenecks in operations, decrease the possibility of fraud, and real-time settlements. This paper proves that a multi-layered high-technical quality blockchain platform can redesign the hybrid banking systems as an efficient, secure, and scaled platform to integrate the emerging digital assets into the traditional financial systems without affecting regulatory compliance or stability of operations.",10.1109/IETACS68750.2025.11385638,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11385638,ieee
A Secure Design of Healthcare System with Blockchain and Internet of Things (IoT),S. Pandey; Vanshika; Anshul; R. K. Dwivedi,2023,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),"Health is one of the most important aspects of human life. For a healthy society, the healthcare sector must be reliable and efficient as much as possible. Blockchain networks can be used to provide innovative solutions to store and share patient data among hospitals, pharmaceutical companies, diagnostic labs, and physicians. Blockchain applications are capable of building trust and detecting fatal errors in the sharing of data. So blockchain can help in the security, effectiveness, and transparency of sharing medical data in the healthcare industry. Using this technology, medical institutions can get quality and trustworthy knowledge which they can use to improve the analysis of patient data and help in the good diagnosis of health issues. A thorough study and analysis have been done to explore the opportunities that blockchain technology can provide to improve the healthcare industry. The various characteristics, methods, and smooth workflow processes of blockchain technology are discussed in diagrams as a potential means of improving global healthcare. The article concludes by listing and analyzing various significant blockchain applications for the healthcare industry. It can help in implementing the smart contract, nonce concepts, and P2P distributed ledgers which ensure the immutability of the shared data. The methods discussed in this paper improve the security of Electronic Health Records (EHRs). The data of patients are taken directly via IoT devices which are used as medical instruments for patients which increases the reliability of data as there is no human interference in between hence human error is eliminated. The proposed technique implementation results show that the security of data has increased and it is more efficient.",10.1109/IDCIoT56793.2023.10053491,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053491,ieee
Increasing data availability and fault tolerance for decentralized collaborative data-sharing systems,K. Jarosz; Ł. Opioła; Ł. Dutka; R. G. Słota; J. Kitowski,2022,2022 17th Conference on Computer Science and Intelligence Systems (FedCSIS),"In order to realize collaboration on a global scale, academic research requires often large quantities of data to be shared between geographically dispersed organizations. The requirement to protect and govern data in a network of loosely coupled, autonomous institutions is an incentive for decentralized solutions, where the participants are in full control of their data without trusting a third-party provider to store and process the data. In order to increase data availability and fault tolerance in decentralized collaborative systems, we propose a layer, which is based on replication and decentralized authority over the data. The solution consists of an idea of peer-sets, which are groups of peers implementing collective data management, a consensus protocol which synchronizes a distributed ledger between peers, and an atomic commitment protocol used to implement optional two-way references between documents. This architecture may be utilized in various decentralized collaborative data-sharing systems, such as Onedata.",10.15439/2022F183,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9908603,ieee
Federated machine learning through edge ready architectures with privacy preservation as a service,K. Koutsopoulos; A. Simon; B. Ertl; S. Tompros; K. Kapusta; G. Coatrieux; A. Gavras; G. Ledakis; O. Toscano; S. Covaci; C. Thümmler,2022,2022 IEEE Future Networks World Forum (FNWF),"This paper presents the details of a novel approach, based on edge and advanced privacy preserving solutions, that tries to accelerate the adoption of personal data federation for the benefit of the evolution of valuable advanced AI models. The approach focuses on the establishment of high degree of trust between data owner and data management infrastructure so that consent in data processing is given by means of functional and enforceable options applicable at all levels of workloads and processes. The overall set of solutions will be delivered as an open-source set of implementations in the context of the PAROMA-MED project.",10.1109/FNWF55208.2022.00067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10056383,ieee
Research on Supply Chain Data Security Optimization and Its Economic Benefits Based on Blockchain,R. Zhang; J. Liu; X. Li; R. Jin,2025,"2025 IEEE International Conference on Electronics, Energy Systems and Power Engineering (EESPE)","This paper proposes a supply chain data security optimization system based on blockchain, which uses data deduplication and verification algorithms to solve the redundancy and consistency problems in multi-party data interaction. The system ensures real-time sharing of data in all links of the supply chain through the distributed ledger technology of blockchain, and improves the security and reliability of data transmission. To verify the performance of the system, this paper constructs an algorithm model and performs data analysis in a simulation environment. The results show that the system has significant effects in reducing data redundancy and improving data accuracy. In terms of economic benefits, simulation data show that by reducing data errors and information delays, the system can significantly reduce supply chain operating costs and improve resource utilization. The research results show that the designed blockchain optimization scheme not only enhances the data security of the supply chain, but also brings substantial economic benefits to enterprises. This study provides new technical ideas for supply chain management based on blockchain and has good application prospects.",10.1109/EESPE63401.2025.10986952,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10986952,ieee
A Blockchain based Electronic Medical Health Records Framework using Smart Contracts,V. B; S. N. Dass; S. R; R. Chinnaiyan,2021,2021 International Conference on Computer Communication and Informatics (ICCCI),"The common issues in medical services within the country are mostly associated with doctors' referral process, data transfer between health institutions, and portals for patients to access their medical information. Specific issues arise, such as sharing health Records across institutes or hospitals, problems with misuse of data once shared, no security, etc. The Electronic Health Record (EHR) Framework on Blockchain addresses those issues, resulting from a collaboration of all stakeholders involved. This paper explores the likelihood of representing medical records to make sure data privacy, data accessibility, and data interoperability for the healthcare-specific scenario. Data privacy refers to affording protection to ensure data is available when needed and not used, imparted, accessed, altered, or deleted while being stored or retrieved, or transmitted. Data accessibility is the ability to access the data regardless of natural or artificial accidents, hardware, or others. Improving the accessibility of health data in the healthcare sector while ensuring privacy has been identified as a necessary capability that involves every individual and organization. Traditionally, healthcare interoperability has centered on sharing data between business institutions, such as various hospital systems. The emphasis has lately been on patient-driven information sharing, where the exchange of medical information is patient-mediated and patient-driven. We propose implementing a large-scale information infrastructure to access Smart Contracts sponsored by EHRs as information mediators. The decentralized nature of blockchain technology will aid in making the EHR accessible over a broader network. Using Blockchain will help make far-reaching changes in the healthcare industry by providing immutable, authentic, and accessible medical records, privacy, and faster payments.",10.1109/ICCCI50826.2021.9402689,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402689,ieee
A Blockchain-based Privacy-Preserving Scheme for Cross-domain Authentication,J. Jiang; Y. Zhang; J. Li,2022,"2022 IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)","With the demand for security, the Internet companies and institutions have formed independent trust domains by utilizing different cryptographic settings, which brings up the problem of cross-domain authentication. To solve the cross-domain authentication problem, researchers have proposed many schemes that can be divided into two categories: centralized and blockchain-based. However, the challenges of privacy leakage, low efficiency, and incomplete cross-domain have not been effectively overcome in existing schemes. In this paper, we propose a Blockchain-based Privacy-preserving scheme for Cross-Domain Authentication (BPCDA). To realize complete cross-domain, the blockchain is introduced for building trust between different domains. For lightweight management, the Pedersen Commitment is adopted for identity voucher generation. In addition, the Non-Interactive Zero-Knowledge (NIZK) proof algorithm is utilized for mutual and anonymous authentication. The security analysis and the performance evaluation demonstrate that the proposed BPCDA is secure, privacy-preserving, and efficient.",10.1109/TrustCom56396.2022.00136,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063524,ieee
IB2P: An image-based privacy-preserving blockchain model for financial services,Z. Xu; M. Qi; Z. Wang; S. Wen; S. Chen; Y. Xiang,2021,2021 IEEE International Conference on Blockchain (Blockchain),"Decentralized finance has grown up dramatically in recent years, covering various cryptocurrency or blockchain financial applications. With the support of blockchain technology, people have shown great enthusiasm and trust in decentralized financial services. However, due to sharing personal information with other institutions, users' privacy and data security will be difficult to be guaranteed. Moreover, various encryption methods such as homomorphic encryption focus on protecting the data stored on the blockchain, but few enhance client-side data security. Motivated by this condition, we develop an image-based privacy-preserving scheme to store users' financial service data as images. Transferring the numerical service data into images ensures that users can comprehend the content and prevent data recognized by the machine. We evaluate our scheme through conducting numerical evaluations from image attack effectiveness and smart contract functions' efficiency analysis.",10.1109/Blockchain53845.2021.00083,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680519,ieee
Privacy-Preserving Initial Public Offering using SCALE-MAMBA and Hyperledger Fabric,L. Benmouffok; K. Singh; N. Heulot; D. Augot,2021,2021 IEEE 30th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE),"We consider Initial Public Offering (IPO) on blockchains while preserving privacy using Secure Multiparty Computation (MPC), which allows participants to perform a computation on secret data. We provide “MPC as a service”, where users requiring a computation distributes shares of their data to MPC workers who run an MPC protocol on the shares and return the result. Previous work by Benhamouda et al. considered IPO over Hyperledger Fabric. We improve by providing a tighter and easier integration of MPC protocol in Fabric using the MPC library SCALE-MAMBA. We explain the obtained security benefits and experimental results are provided.",10.1109/WETICE53228.2021.00027,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680529,ieee
SV-DEMR: An Electronic Medical Record Data Sharing Scheme Based on Searchable and Verifiable Encryption via Consortium Blockchain,Y. Zhang; S. Lin; J. Zhao,2022,2022 International Conference on Blockchain Technology and Information Security (ICBCTIS),"Nowadays, electronic medical records(EMR) have became a new type of digital medical service instead of handwritten paper medical records. However, due to different medical institutions belong to different trustworthy domains, there exites barriers to health data exchang, interoperability, and so on. Considering that it was difficult to share medical record data among different medical institutions, we propose an blockchain based EMR data sharing scheme with searchable and verifiable encryption, i.e. SV-DEMR. In SV-DEMR, we propose a hybrid chain which includes consortium chain and private chain. To acheive the secure storage and sharing of EMR, we use the medical institution server to store the EMR ciphertext, the private chain to store the ciphertext hash value, and the consortium chain to share the ciphertext and key parameters. Moreover, we also propose a CP-ABE algorithm that ciphertext searchable and identity verifiable to realize access control and guarantee authenticity of data and efficient index of ciphertext on the blockchain, named SV-CPABE. Finally, the security of our SV-DEMR is proved theoretically. The extensive experiments are made to demonstrate the better performance in SV-DEMR.",10.1109/ICBCTIS55569.2022.00038,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845101,ieee
