title,authors,year,venue,abstract,doi,url,source
HealChain: Enhancing Security and Accessibility of Medical Records through Blockchain Technology,B. Krivokapic; S. Tomovic; I. Radusinovic,2024,2024 32nd Telecommunications Forum (TELFOR),"This paper introduces a blockchain-based system designed to enable secure sharing of medical records across different healthcare institutions. The proposed solution stores medical records off-chain to ensure scalability and efficient data management, while allowing patients to retain full control over their data. This approach also supports easier integration with existing health information systems. Smart contracts are utilized to automate critical functions such as user registration and document access control, ensuring that only authorized entities can access or modify records. We detail the methods used to protect data confidentiality, uphold patient privacy, and maintain the integrity of medical records. Additionally, we describe the system’s operational workflow. The system prototype was evaluated in terms of computational efficiency under varying transactional loads. The findings demonstrate the system’s potential as a secure and effective solution for medical record management, with the capability to integrate with existing healthcare infrastructures.",10.1109/TELFOR63250.2024.10819172,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819172,ieee
"Enabling Cross-Institution Health Data Sharing in Norway: EUDI Wallets, On-Chain Consent, and openEHR↔FHIR Translation",S. Phuyal; M. Bhandari; R. Bista; J. C. Ferreira,2026,IEEE Access,"The cross-border use of health data is still limited by fragmented data models, weak guarantees around who is requesting access, and inconsistent mechanisms for obtaining and revoking patient consent. The European Health Data Space (EHDS) and the European Digital Identity (EUDI) framework aim to address these issues by giving citizens a portable digital identity and legally valid, auditable control over secondary use of their clinical data, but concrete, national-scale implementations are still missing. We present and evaluate a digital health wallet architecture for Norway that: 1) issues verifiable credentials to both patients and healthcare professionals; 2) records, enforces, and revokes patient consent on a permissioned distributed ledger; 3) verifies access rights using zero-knowledge proofs; and 4) bridges open Electronic Health Record (openEHR) repositories to EHDS-compliant Fast Healthcare Interoperability Resources (FHIR) bundles. The system is built on Hyperledger Besu, uses Groth16 proof circuits with Poseidon hashing for selective disclosure of consent, and encodes General Data Protection Regulation (GDPR) obligations directly into smart contract logic. The architecture was validated in a simulated hospital environment using synthetic ICU-style data. Professional onboarding and role verification completed in approximately 1.2 s (mean, std. 0.2 s). End-to-end consent issuance, verification, and on-ledger recording completed in under 3 s. On-chain verification of zero-knowledge proofs averaged 0.42 s (std. 0.09 s), supporting near real-time authorization without exposing patient identity. The FHIR–openEHR bridge achieved 98.5% mapping success between openEHR compositions and EHDS-mandated FHIR bundles. We further mapped each component to GDPR Articles 5, 7, 25, and 30, demonstrating explicit, revocable, and auditable consent with privacy by design. These results show that an EUDI-compatible digital health wallet can deliver verifiable identity, revocable consent, privacy-preserving auditability, and semantic interoperability fast enough for clinical use. Unlike prior blockchain proposals for consent management, this work demonstrates not only conceptual alignment with EHDS, but an implemented, measured architecture with national deployment potential.",10.1109/ACCESS.2026.3661642,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11373172,ieee
The Next Frontier: Blockchain Technology in Cross-Border Payments,M. Bhavana; N. Swapna; A. Y. Reddy; S. Vadlamudi; G. K. Koduru; T. Gandhi,2025,2025 6th International Conference on Electronics and Sustainable Communication Systems (ICESC),"Blockchain technology offers a decentralized, transparent, and secure solution to the challenges of cross-border payments. The implementation of blockchain technology in cross-border payment systems, including initiatives by financial institutions, fintech startups, and central banks. It begins by elucidating the current challenges faced by traditional payment systems, highlighting the need for innovation. It streamlines processes, reduces costs, enhances financial inclusivity, and ensures transparency and trust. The proposed system consists of several elements, such as digital wallets, blockchain nodes, consensus mechanisms and cryptographic safety protocols. This paper aims to design things which are very secure, efficient, and transparent by reducing the costs of transactions and processing time.",10.1109/ICESC65114.2025.11212286,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11212286,ieee
Multi-Party Crypto Vault System for Secure Digital Transactions,S. Girme; R. Balapure; P. Patil; S. Patil; S. Sarode,2025,"2025 International Conference on Information, Implementation, and Innovation in Technology (I2ITCON)","The significance of safe and cooperative digital asset management systems has been brought to light by the emergence of cryptocurrencies and decentralized finance (DeFi). By incorporating several parties in the administration and approval of transactions, multi-party crypto vaults offer a means to guarantee distributed control, privacy, and fault tolerance. The two main methods that support these vaults-Multi-Signature (Multi-Sig) and Multi-Party Computation (MPC),are reviewed in this study. While multi-sig schemes provide rapid scalable solutions for real-time applications, MPC provides robust privacy and security by permitting encrypted calculations without disclosing private keys. Furthermore, fault tolerance techniques like social recovery and time-locked protocols, as well as key management models like split-key and blockchain-based approaches, guarantee that vault systems continue to be safe and functional even in the event of participant failure. This paper recommends MPC as the optimal approach for high-security, privacy-sensitive applications, such as institutional custody and financial systems, while outlining avenues for future research, including post-quantum cryptography and latency reduction in MPC protocols.",10.1109/I2ITCON65200.2025.11210578,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11210578,ieee
Blockchain-Enabled Cafeteria Token Management and Transaction System: A Permissioned DLT Approach for High-Throughput Institutional Micro-Payments,A. N. S. Preetam; J. Thirupathi; C. Navadeep; S. R. Begam; R. M. Noorullah; A. R. M. Reddy,2026,2026 Second International Conference on Multi-Agent Systems for Collaborative Intelligence (ICMSCI),"This paper presents a novel architecture for secure, high-throughput digital token management and transaction systems tailored for closed institutional environments, specifically corporate and university cafeterias. Traditional centralized Point-of-Sale (POS) systems exhibit significant vulnerabilities, including single points of failure, limited transparency, and cumbersome auditing processes. The proposed solution implements a Permissioned Distributed Ledger Technology (DLT) framework utilizing a modified ERC-20 utility token standard and the Delegated Proof-of-Stake (DPoS) consensus mechanism. This architecture is explicitly engineered to handle high volumes of rapid micro- transactions characteristic of peak institutional demand periods. Security is reinforced through cryptographic data linkage via SHA-256 hashing and smart contracts that enforce institutional policies and prevent fraud. Empirical results from simulation demonstrate that the system achieves transaction throughput exceeding 300 transactions per second (TPS) and maintains average transaction latency below 450 milliseconds under stress testing, confirming the system's viability for real-world deployment where swift transaction finality is essential. This research establishes a validated, secure, and scalable framework for institutional automation using DLT.",10.1109/ICMSCI67830.2026.11469495,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11469495,ieee
CCPP: Cross-Chain Privacy-Preserving for CCLS With Lattice-Based Ring Signature,Y. Zhang; Y. Tang; C. Li; M. Dong; M. Huang; H. Zhang; K. Ota,2026,IEEE Internet of Things Journal,"Cold chain logistics systems (CCLSs) require the secure, efficient, and fresh management of cold products. Blockchain technology facilitates cross-institutional data-sharing for CCLSs, yet heterogeneous blockchains across different institutions give rise to ”data islands” and privacy issues. Facing these problems, we propose a cross-chain privacy-preserving (CCPP) framework based on a notary mechanism. This CCPP model aggregates heterogeneous institutional chains through a notary network, enabling interblockchain operability while eliminating the data islands. Meanwhile, to ensure transaction security and address the quantum vulnerability of traditional signature schemes, we design an identity-based ring signature (ID-RS) scheme. The ID-RS combines the identity mechanism (for traceability) with the ring mechanism (to guarantee the signer’s unconditional anonymity), and combats quantum threats by relying on the lattice assumption (a foundation for postquantum security). Under the random oracle model (ROM), we prove the correctness, unforgeability, and anonymity of the ID-RS scheme. In addition, the experimental results under 80-bit security settings show that our ID-RS scheme outperforms other signature schemes in signature size and verification latency. These findings validate that the CCPP framework and the ID-RS scheme together offer an efficient and practical foundation for privacy-preserving, quantum-resistant data sharing among heterogeneous blockchain-based CCLSs.",10.1109/JIOT.2026.3652166,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11343886,ieee
Efficient Cross-chain Framework for Privacy-Preserving and Auditable Data Retrieval,Z. Chen; J. Chen; K. Omote; J. Cui; Q. Wu; W. Susilo,2026,IEEE Transactions on Dependable and Secure Computing,"Blockchain-based information storage and retrieval systems face significant challenges in achieving efficiency, privacy, and auditability when operating across heterogeneous blockchain platforms. Existing solutions often struggle to balance these requirements, particularly in cross-chain environments involving both public and consortium blockchains. This paper proposes a novel framework that leverages cross-chain technology to address these limitations. The framework integrates multi-party threshold cross-chain consensus to optimize verification efficiency and reduce the computational burden on trusted nodes. To ensure privacy-preserving information querying and retrieval, advanced cryptographic techniques are employed. Additionally, a dedicated auditor set within the consortium blockchain is introduced to detect malicious behavior and enforce regulatory compliance. Comparative evaluations demonstrate that the proposed framework outperforms existing methods in terms of privacy protection, efficiency, and auditability. Experimental results on Hyperledger Fabric demonstrate significant improvements in throughput, achieving at least 20 Transactions Per Second (TPS), along with latency below 3.5 seconds and 300MB memory utilization under standard PC configurations. These findings validate the framework's practical viability for secure and efficient cross-chain information retrieval while maintaining superior performance compared to existing solutions.",10.1109/TDSC.2026.3667755,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11408643,ieee
Design and Implementation of a Blockchain-Based Traceability System for Agricultural Products,C. -Y. Xiong; Y. -H. Xu,2025,2025 21st International Conference on Computational Intelligence and Security (CIS),"The quality and safety of agricultural products are a focus of societal concern, directly impacting public health and social stability. Traditional traceability systems often rely on centralized architectures, which suffer from inherent flaws such as susceptibility to data tampering, lack of transparency, high trust costs in multi-party collaboration, and difficulties in privacy protection. This paper designs and implements a full-link traceability system for agricultural products based on a consortium blockchain. The system uses Fisco-Bcos as the underlying blockchain platform. By designing a multi-role permission control model and a smart contract system, integrating facial recognition and product image recognition technology for dual verification, and employing the PBFT consensus mechanism and a multichannel data isolation scheme, it ensures the immutability and traceability of data throughout the “Production-Transportation-Distribution-Retail” chain, addresses the issue of source data authenticity, and solves performance and privacy problems. This paper elaborates on the system's architecture design, implementation of smart contracts, and security and privacy protection mechanisms. A test environment was deployed to conduct a comprehensive evaluation of the system's transaction performance, query latency, resource consumption, and security, providing a solution for a credible, efficient, and low-cost agricultural product traceability system.",10.1109/CIS69366.2025.11433853,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11433853,ieee
Privacy-Preserving Financial Anomaly Detection via Federated Learning & Multi-Party Computation,S. Arora; A. Beams; P. Chatzigiannis; S. Meiser; K. Patel; S. Raghuraman; P. Rindal; H. Shah; Y. Wang; Y. Wu; H. Yang; M. Zamani,2024,2024 Annual Computer Security Applications Conference Workshops (ACSAC Workshops),"One of the main goals of financial institutions (FIs) such as banks, mortgage companies, and electronic fund transfer facilitators is combating fraud and financial crime. To this end, FIs use sophisticated machine-learning models trained using customer data. The output of these models may be manually reviewed for critical use cases, e.g., determining the likelihood of a transaction being anomalous. While advanced machine learning models aid in anomaly detection, performance could be improved using additional customer data from other FIs. However, FIs may not have consent to share data, and data privacy regulations like GDPR and CCPA may prohibit sharing sensitive data. Combining data to jointly train accurate models is thus challenging.In this paper, we propose a privacy-preserving framework that allows FIs to jointly train accurate anomaly detection models. Our framework combines federated learning with multi-party computation and noisy aggregates inspired by differential privacy. This framework was a winning entry in the US/UK Privacy-Enhancing Technologies (PETs) Challenge, which considered an architecture where banks hold customer data and execute transactions through a central network. We show that our solution enables the network to train a highly accurate anomaly detection model while preserving customer data privacy. Experimental results on synthetic transaction data (7 million transactions for training and 700 thousand for inference) demonstrate that our approach improves the model’s Area Under the Precision–Recall Curve from 0.6 to 0.7. We also discuss the framework’s generalizability to similar scenarios.",10.1109/ACSACW65225.2024.00038,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10918128,ieee
Simulation-Based Benchmarking of Consensus Algorithms for Scalable Blockchain Networks,P. Sharma; P. Goswami,2025,2025 IEEE DELCON - International Conference on Recent Smart Technologies in Engineering for Sustainable Development,"Blockchain technology relies on decentralized data management across various applications to ensure secure transactions. Consensus algorithms play a critical role in maintaining consistency and trust within decentralized environments, laying the groundwork for further exploration. This paper presents a simulation-based benchmarking framework for evaluating major consensus mechanisms Proof of Work (PoW), Proof of Stake (PoS), Proof of Authority (PoA), Proof of Capacity (PoC), Practical Byzantine Fault Tolerance (PBFT), Directed Acyclic Graph (DAG), and Proof of Biometric Uniqueness (PoBU). A MATLAB-based simulation environment integrated with Docker-emulated blockchain nodes was developed to measure performance across several parameters, including throughput, latency, energy consumption, finality probability, fault tolerance, and resource requirements. Results show that DAG achieves the highest throughput (1600 TPS) and lowest latency (0.8 s), while PoBU offers strong fault tolerance (50%) and energy efficiency (60 J/tx). PBFT and PoA provide ultra-fast confirmations with limited decentralization, whereas PoW demonstrate poor scalability and energy efficiency. These findings highlight the potential for a unified benchmarking framework for consensus mechanisms and provide practical insights for selecting consensus protocols for specific blockchain applications.",10.1109/DELCON68055.2025.11400447,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11400447,ieee
